"code","name","sector","section","has_item","reg_day","code","reg_day","open","high","low","close","change_price","change_rate","volume","margin_rate","volume_retail","volume_insti","volume_foreign","volume_program","foreign_rate","volume_short","cap"
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-13,900,900,860,860,-15,-1.71,1052036,6.84,-17947,0,30104,0,0.38,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-12,885,890,865,875,-15,-1.69,1135412,7.16,0,0,0,0,0.35,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-11,875,900,860,890,30,3.49,1909112,7.0,0,0,0,0,0.35,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-10,855,880,850,860,5,0.58,1196635,6.99,6854,0,-13708,0,0.35,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-07,840,860,835,855,10,1.18,1017442,7.13,997,0,-1994,0,0.36,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-06,850,870,830,845,0,0.0,964316,6.59,-1199,0,2398,0,0.37,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-05,840,900,810,845,5,0.6,3821131,6.61,14365,0,-28930,0,0.36,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-04,855,860,840,840,-10,-1.18,881375,6.56,14026,0,-28052,0,0.4,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-03,845,860,830,850,10,1.19,879889,6.25,16987,0,-33704,0,0.43,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-31,900,900,840,840,-40,-4.55,1898117,5.85,18173,0,-35412,0,0.46,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-30,820,915,815,880,60,7.32,4757596,5.95,-11281,0,22292,0,0.5,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-29,815,830,805,820,5,0.61,784091,5.93,0,0,0,0,0.48,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-28,840,845,815,815,0,0.0,1682495,5.85,0,0,0,0,0.48,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-27,805,815,800,815,15,1.88,1037102,5.65,130,0,0,0,0.48,0,0
